Day,Date,PV_Total_MWh,PV_to_H2_kWh,Batt_to_H2_kWh,Battery_Cycles_Daily,Battery_Cycles_Cumulative,H2_Start_Hour,H2_Stop_Hour,H2_Produced_kg,Final_SOC_pct,Planned_H2_Hours,Actual_H2_Hours
1,01-Aug-2023,26.0693467029334,12374.3631573494,825.636842650583,0.5,0.5,6,18,230.02300230023,58.452602739726,12,12
2,02-Aug-2023,26.365265884119,12589.6280961524,610.371903847645,0.5,1,6,18,230.02300230023,63.1961643835617,12,12
3,03-Aug-2023,25.7076850556206,12411.0728746291,788.927125370857,0.5,1.5,6,18,230.02300230023,56.5276712328767,12,12
4,04-Aug-2023,25.9663233111975,12520.0077182734,679.992281726552,0.5,2,6,18,230.02300230023,63.3517808219178,12,12
5,05-Aug-2023,17.9622192412232,12135.9028299297,1064.09717007034,1.5,3.5,6,18,230.02300230023,50.4093150684932,12,12
6,06-Aug-2023,24.4181399019537,11726.3423452665,1473.65765473353,0.5,4,6,18,230.02300230023,74.6367123287671,12,12
7,07-Aug-2023,22.9213619538679,12351.9951835132,848.004816486847,0.5,4.5,6,18,230.02300230023,60.7002739726027,12,12
8,08-Aug-2023,26.3929378675197,12534.8249188429,665.17508115713,0.5,5,6,18,230.02300230023,60.0860273972603,12,12
9,09-Aug-2023,25.703713582637,12367.6739130588,832.326086941177,0.5,5.5,6,18,230.02300230023,60.1156164383562,12,12
10,10-Aug-2023,26.1601104316718,12500.0268284924,699.973171507595,0.5,6,6,18,230.02300230023,61.3375342465753,12,12
11,11-Aug-2023,25.5030310159733,12418.617469333,781.382530666953,0.5,6.5,6,18,230.02300230023,59.7320547945206,12,12
12,12-Aug-2023,25.1662733909899,12319.8666227906,880.133377209366,0,6.5,6,18,230.02300230023,54.2104109589041,12,12
13,13-Aug-2023,25.4631059281885,12405.1399573543,794.860042645677,0.5,7,6,18,230.02300230023,60.3682191780822,12,12
14,14-Aug-2023,25.2690952046019,12312.5630612931,887.436938706919,0.5,7.5,6,18,230.02300230023,58.4915068493151,12,12
15,15-Aug-2023,25.3407613012405,12360.3850072202,839.6149927798,0.5,8,6,18,230.02300230023,58.5643835616438,12,12
16,16-Aug-2023,25.5291051787054,12354.4221693456,845.577830654449,0.5,8.5,6,18,230.02300230023,58.7578082191781,12,12
17,17-Aug-2023,24.7219987443904,12218.5655984367,981.434401563261,0.5,9,6,18,230.02300230023,54.5057534246575,12,12
18,18-Aug-2023,24.3094149593736,12147.9022214181,1052.09777858193,0.5,9.5,6,18,230.02300230023,52.9216438356164,12,12
19,19-Aug-2023,24.3433992334706,12156.8273670919,1043.17263290809,0.5,10,6,18,230.02300230023,53.8345205479452,12,12
20,20-Aug-2023,23.8217160041202,11942.6243575059,1257.37564249414,0.5,10.5,6,18,230.02300230023,49.773698630137,12,12
21,21-Aug-2023,22.879767670109,11847.4360176938,1352.56398230622,0.5,11,6,18,230.02300230023,75.8931506849315,12,12
22,22-Aug-2023,22.8306424296041,11991.1867456918,1208.81325430816,0,11,6,18,230.02300230023,49.6553424657534,12,12
23,23-Aug-2023,22.6670254712905,11934.5137874246,1265.48621257541,0.5,11.5,6,18,230.02300230023,71.9331506849315,12,12
24,24-Aug-2023,21.9365354656726,11664.9439100596,1535.05608994037,0.5,12,6,18,230.02300230023,67.1441095890411,12,12
25,25-Aug-2023,21.1902124134312,11159.9182407379,2040.0817592621,0.5,12.5,6,18,230.02300230023,39.7769863013699,12,12
26,26-Aug-2023,23.5157367977576,10951.3379426973,1148.66205730267,0,12.5,6,18,226.022602260226,76.1605479452055,11,11
27,27-Aug-2023,23.7960988366222,11947.6731301516,1252.32686984836,0.5,13,6,18,230.02300230023,51.5216438356165,12,12
28,28-Aug-2023,16.0859766192094,9577.26038821882,3622.73961178118,0.5,13.5,6,18,230.02300230023,44.5490410958904,12,12
29,29-Aug-2023,21.4963884501088,11025.2411179595,2174.75888204053,0.5,14,6,18,230.02300230023,66.4652054794521,12,12
30,30-Aug-2023,20.3115734712669,10990.4638278856,2209.53617211441,0.5,14.5,6,18,230.02300230023,32.7495890410959,12,12
31,31-Aug-2023,22.1811686542503,10800.2143134102,1299.78568658978,0,14.5,6,18,226.022602260226,71.7901369863014,11,11
