Day,Date,PV_Total_MWh,PV_to_H2_kWh,Batt_to_H2_kWh,Battery_Cycles_Daily,Battery_Cycles_Cumulative,H2_Start_Hour,H2_Stop_Hour,H2_Produced_kg,Final_SOC_pct,Planned_H2_Hours,Actual_H2_Hours
1,01-Feb-2023,14.8494038656718,8456.14208034783,3643.85791965217,0,0,6,18,226.022602260226,59.4701369863014,11,11
2,02-Feb-2023,7.13863602327118,4411.5863256269,3288.4136743731,0.5,0.5,6,15,154.015401540154,20,7,7
3,03-Feb-2023,12.8720690819536,8429.01664184693,1470.98335815307,0,0.5,9,18,176.017601760176,49.7391780821918,9,9
4,04-Feb-2023,9.84022444833922,7152.14132412065,4947.85867587935,1.5,2,6,18,226.022602260226,26.1441095890411,11,11
5,05-Feb-2023,13.1391499277491,7312.74919591332,3687.25080408668,0,2,6,18,208.020802080208,46.4246575342466,10,10
6,06-Feb-2023,7.94799460364384,6190.18475834538,2609.81524165462,0.5,2.5,6,17,172.017201720172,20,8,8
7,07-Feb-2023,13.3207068834457,8457.77148911905,1442.22851088096,1,3.5,9,18,176.017601760176,52.534794520548,9,9
8,08-Feb-2023,9.42876911676152,6698.74757115208,4301.25242884792,0.5,4,6,18,208.020802080208,20,10,10
9,09-Feb-2023,3.92363254835664,0,0,0,4,0,24,0,20,0,0
10,10-Feb-2023,4.59163586508005,0,0,0,4,0,24,0,20,0,0
11,11-Feb-2023,15.651507694121,8617.92995932485,1282.07004067515,0,4,9,18,176.017601760176,44.7232876712329,9,9
12,12-Feb-2023,9.74964187692768,7038.47664629143,3961.52335370857,0.5,4.5,6,18,208.020802080208,22.2032876712329,10,10
13,13-Feb-2023,14.052643215364,8586.11819386221,2413.88180613779,0.5,5,6,18,208.020802080208,63.8295890410959,10,10
14,14-Feb-2023,10.058669890157,6359.67488184991,4640.32511815009,1.5,6.5,6,18,208.020802080208,27.6328767123288,10,10
15,15-Feb-2023,16.7817960741832,8775.37425094804,2224.62574905196,0,6.5,6,18,208.020802080208,51.4767123287671,10,10
16,16-Feb-2023,15.1333848943002,8418.80793475054,3681.19206524946,0,6.5,6,18,226.022602260226,66.4816438356164,11,11
17,17-Feb-2023,12.9525125461313,8808.03652784069,3291.96347215931,0,6.5,6,18,226.022602260226,54.7715068493151,11,11
18,18-Feb-2023,9.9997998907631,7323.59062734005,3676.40937265994,0.5,7,6,18,208.020802080208,31.652602739726,10,10
19,19-Feb-2023,17.7775861214694,8933.69476268054,2066.30523731946,0,7,6,18,208.020802080208,58.9928767123288,10,10
20,20-Feb-2023,16.9171839402446,9041.76797230928,3058.23202769072,0,7,6,18,226.022602260226,51.1024657534247,11,11
21,21-Feb-2023,17.77825973906,9136.00217624398,2963.99782375602,0,7,6,18,226.022602260226,61.3758904109589,11,11
22,22-Feb-2023,18.0914921398286,9212.67647871591,2887.32352128409,0,7,6,18,226.022602260226,62.9967123287671,11,11
23,23-Feb-2023,17.6888997579659,9192.02413918698,2907.97586081302,0,7,6,18,226.022602260226,60.6471232876712,11,11
24,24-Feb-2023,17.2998569288364,9115.0762058554,2984.9237941446,0,7,6,18,226.022602260226,59.0389041095891,11,11
25,25-Feb-2023,6.18251452625849,4136.89851215097,3563.10148784903,0.5,7.5,6,14,154.015401540154,20,7,7
26,26-Feb-2023,5.8365422285631,0,0,0,7.5,0,24,0,20,0,0
27,27-Feb-2023,12.6164532978351,6765.33780057573,934.662199424265,0,7.5,11,18,140.01400140014,55.1742465753425,7,7
28,28-Feb-2023,7.95144758216924,2976.21668499542,3623.78331500458,0.5,8,6,14,136.013601360136,20,6,6
