Day,Date,PV_Total_MWh,PV_to_H2_kWh,Batt_to_H2_kWh,Battery_Cycles_Daily,Battery_Cycles_Cumulative,H2_Start_Hour,H2_Stop_Hour,H2_Produced_kg,Final_SOC_pct,Planned_H2_Hours,Actual_H2_Hours
1,01-Jan-2023,11.757739184011,7896.42005101022,4203.57994898978,0,0,6,18,226.022602260226,46.6821917808219,11,11
2,02-Jan-2023,12.0591761556805,7972.70878706253,3027.29121293747,0,0,6,18,208.020802080208,36.3249315068493,10,10
3,03-Jan-2023,12.0100940075522,7972.55798908377,3027.44201091623,0,0,6,18,208.020802080208,36.2191780821918,10,10
4,04-Jan-2023,10.7297204890663,7965.03243415236,3034.96756584764,0.5,0.5,6,18,208.020802080208,37.2142465753424,10,10
5,05-Jan-2023,11.3966240052444,6904.45367240887,2995.54632759113,0,0.5,6,18,190.01900190019,42.5183561643836,9,9
6,06-Jan-2023,5.28100828738533,2492.86616831106,1907.13383168894,0.5,1,6,14,100.0100010001,20,4,4
7,07-Jan-2023,9.7320711945948,7371.63134978208,2528.36865021792,0.5,1.5,9,18,176.017601760176,23.5490410958904,9,9
8,08-Jan-2023,6.69350588118329,3555.24387967428,1944.75612032572,0.5,2,6,17,118.011801180118,20,5,5
9,09-Jan-2023,3.8430165666203,0,0,0,2,0,24,0,20,0,0
10,10-Jan-2023,4.15359315890169,1212.9854686332,987.014531366797,0.5,2.5,14,16,50.00500050005,20,2,2
11,11-Jan-2023,12.5586403730144,7987.45308039331,1912.54691960669,0,2.5,9,18,176.017601760176,40.641095890411,9,9
12,12-Jan-2023,5.33051660957335,1929.85859217793,2470.14140782207,0.5,3,6,13,100.0100010001,20,4,4
13,13-Jan-2023,8.24693147331493,4910.25406403094,2789.74593596906,0.5,3.5,11,18,140.01400140014,20,7,7
14,14-Jan-2023,7.4320020466302,5741.26361767671,1958.73638232329,1.5,5,10,17,140.01400140014,20,7,7
15,15-Jan-2023,11.9153475122493,6947.18847491369,1852.81152508631,0,5,10,18,158.015801580158,38.1298630136986,8,8
16,16-Jan-2023,9.14435098189031,6156.10282675434,4843.89717324566,0,5,6,18,208.020802080208,20,10,10
17,17-Jan-2023,10.3471348548215,5864.40307871286,1835.59692128714,0,5,11,18,140.01400140014,45.7309589041096,7,7
18,18-Jan-2023,10.5307935195283,7739.60556831486,3260.39443168514,1.5,6.5,6,18,208.020802080208,38.4252054794521,10,10
19,19-Jan-2023,5.33991396353432,0,1100,0,6.5,6,7,32.003200320032,20,1,1
20,20-Jan-2023,11.1839743217825,7254.34431690035,2645.65568309965,0,6.5,9,18,176.017601760176,36.4115068493151,9,9
21,21-Jan-2023,10.0341137434006,6158.3912985829,3741.6087014171,0.5,7,6,18,190.01900190019,38.4712328767123,9,9
22,22-Jan-2023,1.86108050048532,0,1100,0,7,6,7,32.003200320032,20,1,1
23,23-Jan-2023,14.0608677341173,8291.34461031406,1608.65538968594,0,7,9,18,176.017601760176,51.4635616438356,9,9
24,24-Jan-2023,11.5072612125197,8110.93538024342,3989.06461975658,0,7,6,18,226.022602260226,42.0350684931507,11,11
25,25-Jan-2023,10.2847926488332,7045.37970664866,2854.62029335134,0.5,7.5,6,18,190.01900190019,27.5753424657534,9,9
26,26-Jan-2023,11.9469858963939,6632.63852607707,3267.36147392293,0,7.5,6,18,190.01900190019,39.5709589041096,9,9
27,27-Jan-2023,7.51689632182986,6689.16154454341,3210.83845545659,1.5,9,6,17,190.01900190019,20,9,9
28,28-Jan-2023,7.00456304771323,0,0,0,9,0,24,0,20,0,0
29,29-Jan-2023,13.5588752549807,7299.15215197669,1500.84784802331,0,9,10,18,158.015801580158,50.1517808219178,8,8
30,30-Jan-2023,9.58289393470947,6850.52491024448,5249.47508975552,0.5,9.5,6,18,226.022602260226,20,11,11
31,31-Jan-2023,7.96460818543114,6228.43082174306,2571.56917825694,2,11.5,9,18,172.017201720172,20,8,8
