Day,Date,PV_Total_MWh,PV_to_H2_kWh,Batt_to_H2_kWh,Battery_Cycles_Daily,Battery_Cycles_Cumulative,H2_Start_Hour,H2_Stop_Hour,H2_Produced_kg,Final_SOC_pct,Planned_H2_Hours,Actual_H2_Hours
1,01-Jul-2023,26.3443277610024,12651.3237777343,548.676222265733,0.5,0.5,6,18,230.02300230023,40.3369863013699,12,12
2,02-Jul-2023,14.1412139794265,8138.96457530549,2861.03542469451,0.5,1,6,18,208.020802080208,71.132602739726,10,10
3,03-Jul-2023,28.3337006502046,12778.7355912107,421.264408789293,0.5,1.5,6,18,230.02300230023,43.3994520547945,12,12
4,04-Jul-2023,27.3761676816966,12798.5928742508,401.407125749193,0.5,2,6,18,230.02300230023,62.7304109589041,12,12
5,05-Jul-2023,23.7618378368584,11488.5364657902,1711.46353420985,1.5,3.5,6,18,230.02300230023,72.7380821917808,12,12
6,06-Jul-2023,28.7498501899826,12800.69114037,399.308859630003,0.5,4,6,18,230.02300230023,44.2345205479452,12,12
7,07-Jul-2023,27.6001202744212,12769.5076524369,430.492347563104,0.5,4.5,6,18,230.02300230023,69.2504109589041,12,12
8,08-Jul-2023,25.0619185461282,12590.2455348774,609.754465122559,0.5,5,6,18,230.02300230023,46.4021917808219,12,12
9,09-Jul-2023,26.8946599069758,12680.7164175549,519.28358244505,0.5,5.5,6,18,230.02300230023,64.8980821917808,12,12
10,10-Jul-2023,27.4149658129339,12724.7702287745,475.229771225463,0.5,6,6,18,230.02300230023,67.9627397260274,12,12
11,11-Jul-2023,27.766215330071,12753.3731474572,446.626852542845,0.5,6.5,6,18,230.02300230023,42.7167123287671,12,12
12,12-Jul-2023,27.3910467816856,12689.8572031137,510.142796886276,0.5,7,6,18,230.02300230023,66.0071232876712,12,12
13,13-Jul-2023,27.0711744497515,12677.4884018454,522.511598154614,0.5,7.5,6,18,230.02300230023,64.8306849315069,12,12
14,14-Jul-2023,26.760448051742,12669.3042295966,530.695770403418,0.5,8,6,18,230.02300230023,64.4635616438356,12,12
15,15-Jul-2023,26.718189965258,12636.6198633812,563.380136618754,0.5,8.5,6,18,230.02300230023,62.7704109589041,12,12
16,16-Jul-2023,27.4908361351866,12713.3213800477,486.678619952271,0.5,9,6,18,230.02300230023,67.7545205479452,12,12
17,17-Jul-2023,27.0871220666275,12678.9320827506,521.067917249441,0.5,9.5,6,18,230.02300230023,66.1578082191781,12,12
18,18-Jul-2023,26.7965944407278,12646.5412541878,553.458745812223,0.5,10,6,18,230.02300230023,63.2060273972603,12,12
19,19-Jul-2023,26.6799696878922,12648.0233127374,551.976687262564,0.5,10.5,6,18,230.02300230023,63.8668493150685,12,12
20,20-Jul-2023,26.9833783837052,12651.5126450254,548.487354974647,0.5,11,6,18,230.02300230023,65.1106849315069,12,12
21,21-Jul-2023,26.5751603923099,12644.6351008714,555.364899128558,0.5,11.5,6,18,230.02300230023,64.6915068493151,12,12
22,22-Jul-2023,25.7369623226268,12565.7238838081,634.276116191888,0.5,12,6,18,230.02300230023,61.0295890410959,12,12
23,23-Jul-2023,24.263326036989,12516.189976887,683.810023112986,0.5,12.5,6,18,230.02300230023,61.1221917808219,12,12
24,24-Jul-2023,26.4345565215051,12635.4828982458,564.517101754223,0.5,13,6,18,230.02300230023,65.0635616438356,12,12
25,25-Jul-2023,24.8407769101288,12448.186244186,751.813755813969,0.5,13.5,6,18,230.02300230023,63.1923287671233,12,12
26,26-Jul-2023,20.8028026858791,11609.2071712456,1590.79282875435,0.5,14,6,18,230.02300230023,53.4416438356164,12,12
27,27-Jul-2023,26.8087316812202,12645.45301129,554.546988710037,0.5,14.5,6,18,230.02300230023,65.6109589041096,12,12
28,28-Jul-2023,26.2601263193004,12577.6098952646,622.390104735372,0.5,15,6,18,230.02300230023,64.0690410958904,12,12
29,29-Jul-2023,26.2954939839709,12564.6493974487,635.350602551349,0.5,15.5,6,18,230.02300230023,61.4312328767123,12,12
30,30-Jul-2023,26.9461141287681,12623.9417992693,576.058200730678,0.5,16,6,18,230.02300230023,64.8509589041096,12,12
31,31-Jul-2023,26.4087373550519,12603.0189708709,596.981029129065,0.5,16.5,6,18,230.02300230023,62.9271232876712,12,12
