Day,Date,PV_Total_MWh,PV_to_H2_kWh,Batt_to_H2_kWh,Battery_Cycles_Daily,Battery_Cycles_Cumulative,H2_Start_Hour,H2_Stop_Hour,H2_Produced_kg,Final_SOC_pct,Planned_H2_Hours,Actual_H2_Hours
1,01-Jun-2023,21.7833821578607,10776.5578695484,2423.44213045156,1,1,6,18,230.02300230023,32.2728767123288,12,12
2,02-Jun-2023,27.2538370859096,12622.7398749845,577.260125015457,0.5,1.5,6,18,230.02300230023,69.8821917808219,12,12
3,03-Jun-2023,27.2002724767705,12768.7370229352,431.262977064757,0.5,2,6,18,230.02300230023,39.1391780821918,12,12
4,04-Jun-2023,27.0704606096572,12688.2266439356,511.773356064435,0.5,2.5,6,18,230.02300230023,66.8465753424658,12,12
5,05-Jun-2023,5.52382747079016,825.183888301051,2474.81611169895,0,2.5,6,9,68.006800680068,20,3,3
6,06-Jun-2023,10.1175156474706,4625.71079228457,1974.28920771543,0.5,3,12,18,122.012201220122,44.5868493150685,6,6
7,07-Jun-2023,22.2585385916964,12104.4946645981,1095.50533540194,0.5,3.5,6,18,230.02300230023,67.7419178082192,12,12
8,08-Jun-2023,27.6566350967247,12823.9146664081,376.085333591933,0.5,4,6,18,230.02300230023,58.7139726027397,12,12
9,09-Jun-2023,25.3886214405051,12748.6695307988,451.330469201162,0.5,4.5,6,18,230.02300230023,65.2509589041096,12,12
10,10-Jun-2023,24.1165973738435,12144.7609866177,1055.23901338228,0.5,5,6,18,230.02300230023,53.2712328767123,12,12
11,11-Jun-2023,26.8162980354259,12289.9196916612,910.080308338843,0.5,5.5,6,18,230.02300230023,63.4739726027397,12,12
12,12-Jun-2023,15.5818657782406,9708.54935150188,2391.45064849812,1,6.5,6,18,226.022602260226,86.2454794520548,11,11
13,13-Jun-2023,24.9412936856968,12465.6766682363,734.323331763711,0.5,7,6,18,230.02300230023,52.0005479452055,12,12
14,14-Jun-2023,13.0595075689711,8011.71060829102,4088.28939170898,0.5,7.5,6,18,226.022602260226,23.7594520547945,11,11
15,15-Jun-2023,15.5078753158371,8144.19893054947,655.801069450527,0,7.5,6,18,172.017201720172,64.3161643835616,8,8
16,16-Jun-2023,18.9488210885587,10657.9816001621,2542.01839983794,1,8.5,6,18,230.02300230023,62.9008219178082,12,12
17,17-Jun-2023,25.5452835933796,12160.2126477047,1039.78735229529,0.5,9,6,18,230.02300230023,61.0131506849315,12,12
18,18-Jun-2023,27.8243755262109,12784.1441235506,415.855876449371,0.5,9.5,6,18,230.02300230023,60.5764383561644,12,12
19,19-Jun-2023,28.4029012859065,12603.5969244651,596.403075534862,0.5,10,6,18,230.02300230023,42.601095890411,12,12
20,20-Jun-2023,28.4182650512793,12851.510838482,348.489161518003,0.5,10.5,6,18,230.02300230023,70.5950684931507,12,12
21,21-Jun-2023,27.4148645254806,12724.1642593157,475.83574068435,0.5,11,6,18,230.02300230023,39.4175342465753,12,12
22,22-Jun-2023,27.497884230791,12783.7573127143,416.242687285685,0.5,11.5,6,18,230.02300230023,68.8241095890411,12,12
23,23-Jun-2023,26.737531599792,12682.5009323035,517.499067696537,0.5,12,6,18,230.02300230023,64.761095890411,12,12
24,24-Jun-2023,21.8488545821364,12390.8363569606,809.163643039396,0.5,12.5,6,18,230.02300230023,58.2060273972603,12,12
25,25-Jun-2023,26.524075428257,12241.6367328484,958.36326715162,0.5,13,6,18,230.02300230023,59.8986301369863,12,12
26,26-Jun-2023,27.1942426654865,12696.4982267456,503.501773254383,0.5,13.5,6,18,230.02300230023,66.906301369863,12,12
27,27-Jun-2023,28.1454360529306,12718.9077438743,481.092256125669,0.5,14,6,18,230.02300230023,41.4602739726027,12,12
28,28-Jun-2023,28.7825244888628,12835.8364374553,364.163562544724,0.5,14.5,6,18,230.02300230023,71.6147945205479,12,12
29,29-Jun-2023,26.3904073719513,12595.3927149267,604.607285073273,0.5,15,6,18,230.02300230023,60.3441095890411,12,12
30,30-Jun-2023,23.3144169543944,11495.3430558447,1704.65694415534,1,16,6,18,230.02300230023,74.4476712328767,12,12
