Day,Date,PV_Total_MWh,PV_to_H2_kWh,Batt_to_H2_kWh,Battery_Cycles_Daily,Battery_Cycles_Cumulative,H2_Start_Hour,H2_Stop_Hour,H2_Produced_kg,Final_SOC_pct,Planned_H2_Hours,Actual_H2_Hours
1,01-Dec-2023,7.34473646184423,5820.18650055966,2979.81349944034,0.5,0.5,6,16,172.017201720172,20,8,8
2,02-Dec-2023,5.26520060519572,4214.99123153486,1285.00876846514,1.5,2,9,14,104.010401040104,20,5,5
3,03-Dec-2023,3.00455948579049,0,0,0,2,0,24,0,20,0,0
4,04-Dec-2023,6.29081720360415,4134.41350607559,1365.58649392441,0,2,11,16,104.010401040104,20,5,5
5,05-Dec-2023,5.23288622559716,0,0,0,2,0,24,0,20,0,0
6,06-Dec-2023,4.90762765238069,0,0,0,2,0,24,0,20,0,0
7,07-Dec-2023,5.5252729247656,3511.6292303792,1988.3707696208,1.5,3.5,11,16,104.010401040104,20,5,5
8,08-Dec-2023,9.52428455503576,6426.87697783264,2373.12302216737,0.5,4,10,18,158.015801580158,20,8,8
9,09-Dec-2023,5.65051224116726,2924.8330687555,1475.1669312445,0.5,4.5,10,14,86.008600860086,20,4,4
10,10-Dec-2023,3.41746622288012,0,0,0,4.5,0,24,0,20,0,0
11,11-Dec-2023,10.632597484189,7576.55899266653,2323.44100733347,0.5,5,9,18,176.017601760176,35.3687671232877,9,9
12,12-Dec-2023,10.1697608853586,6434.61743513437,3465.38256486563,0,5,6,18,190.01900190019,33.5583561643836,9,9
13,13-Dec-2023,10.1154198220683,7253.00547427945,3746.99452572055,0,5,6,18,208.020802080208,27.1221917808219,10,10
14,14-Dec-2023,3.5601347560709,1358.47166703724,1941.52833296276,0.5,5.5,6,13,82.008200820082,20,3,3
15,15-Dec-2023,3.77877480208161,1735.71809466185,464.281905338146,0.5,6,11,13,50.00500050005,20,2,2
16,16-Dec-2023,5.92907858702948,1798.47819101148,401.521808988524,0.5,6.5,10,12,50.00500050005,20,2,2
17,17-Dec-2023,11.0697934919319,7664.31682289934,2235.68317710066,0,6.5,9,18,176.017601760176,34.826301369863,9,9
18,18-Dec-2023,11.3239037207,7651.91566456186,3348.08433543814,0,6.5,6,18,208.020802080208,39.3457534246575,10,10
19,19-Dec-2023,11.3959720389687,7724.41976880406,3275.58023119594,0,6.5,6,18,208.020802080208,42.2071232876712,10,10
20,20-Dec-2023,10.0540039969949,6385.11190415746,3514.88809584254,0.5,7,6,18,190.01900190019,31.3260273972603,9,9
21,21-Dec-2023,7.79557478073301,5996.32661817435,2803.67338182565,0.5,7.5,6,17,172.017201720172,20,8,8
22,22-Dec-2023,3.63815482339184,0,0,0,7.5,0,24,0,20,0,0
23,23-Dec-2023,7.83144512282952,5100.77968959025,2599.22031040975,0.5,8,10,17,140.01400140014,20,7,7
24,24-Dec-2023,8.03923830526207,4015.61535271108,2584.38464728892,0.5,8.5,12,18,122.012201220122,20,6,6
25,25-Dec-2023,3.3833571881222,0,0,0,8.5,0,24,0,20,0,0
26,26-Dec-2023,5.06781291965814,1535.57913008897,664.420869911027,0.5,9,14,16,50.00500050005,20,2,2
27,27-Dec-2023,9.92490910503517,6361.90910351436,2438.09089648564,0.5,9.5,10,18,158.015801580158,34.5906849315068,8,8
28,28-Dec-2023,8.41663888657001,5158.08424062501,4741.91575937499,0.5,10,6,18,190.01900190019,20,9,9
29,29-Dec-2023,2.74314503727362,0,0,0,10,0,24,0,20,0,0
30,30-Dec-2023,8.60765903372854,6218.56894120465,2581.43105879535,0.5,10.5,10,18,158.015801580158,20,8,8
31,31-Dec-2023,4.1736157715216,0,0,0,10.5,0,24,0,20,0,0
