Day,Date,PV_Total_MWh,PV_to_H2_kWh,Batt_to_H2_kWh,Battery_Cycles_Daily,Battery_Cycles_Cumulative,H2_Start_Hour,H2_Stop_Hour,H2_Produced_kg,Final_SOC_pct,Planned_H2_Hours,Actual_H2_Hours
1,01-May-2023,12.2474507961905,7232.77103541596,1567.22896458404,1.5,1.5,10,18,158.015801580158,56.146301369863,8,8
2,02-May-2023,3.79396359081663,234.390988718422,1965.60901128158,0,1.5,6,8,50.00500050005,20,2,2
3,03-May-2023,19.2460858737254,9954.85397663489,1045.14602336511,0,1.5,8,18,194.019401940194,51.7917808219178,10,10
4,04-May-2023,24.643950361669,11641.255935593,1558.744064407,0.5,2,6,18,230.02300230023,73.1178082191781,12,12
5,05-May-2023,25.6809195868204,12068.457148806,1131.54285119403,0.5,2.5,6,18,230.02300230023,52.7309589041096,12,12
6,06-May-2023,27.7684823792669,12583.159040705,616.840959295006,0.5,3,6,18,230.02300230023,67.4169863013699,12,12
7,07-May-2023,27.1254943408139,12489.6873173176,710.31268268236,0.5,3.5,6,18,230.02300230023,39.838904109589,12,12
8,08-May-2023,7.08754872655598,2589.98768341227,1810.01231658773,0.5,4,6,17,100.0100010001,20,4,4
9,09-May-2023,10.5414743654029,6784.88794387916,915.112056120837,0.5,4.5,11,18,140.01400140014,37.4449315068493,7,7
10,10-May-2023,8.57908029997611,5710.54136253279,1989.45863746721,1.5,6,6,15,154.015401540154,20,7,7
11,11-May-2023,27.3146468378472,11857.4294473883,242.570552611697,0,6,7,18,212.021202120212,68.3523287671233,11,11
12,12-May-2023,23.3055864942098,12612.6106376284,587.389362371609,0.5,6.5,6,18,230.02300230023,42.0208219178082,12,12
13,13-May-2023,8.78608800528285,7170.34973303384,2729.65026696616,1,7.5,6,17,204.020402040204,20,9,9
14,14-May-2023,8.35127154098588,3258.36611631546,2241.63388368454,0.5,8,12,17,104.010401040104,20,5,5
15,15-May-2023,6.69158298042154,2688.33324534102,611.666754658983,0.5,8.5,10,13,68.006800680068,20,3,3
16,16-May-2023,15.8729768570403,7911.62968444864,1988.37031555136,1,9.5,9,18,176.017601760176,68.5561643835617,9,9
17,17-May-2023,21.4647387824487,10868.5352086887,2331.46479131133,0.5,10,6,18,230.02300230023,20,12,12
18,18-May-2023,16.8634726202311,10483.0279040075,516.972095992512,0,10,8,18,194.019401940194,76.053698630137,10,10
19,19-May-2023,16.7377395458476,10939.8571304618,2260.14286953817,0.5,10.5,6,18,230.02300230023,20,12,12
20,20-May-2023,4.11871986814879,0,0,0,10.5,0,24,0,20,0,0
21,21-May-2023,13.3758583649609,8587.26020587095,212.739794129055,0.5,11,10,18,158.015801580158,63.7139726027397,8,8
22,22-May-2023,21.3397342949443,10811.2184353597,2388.78156464033,0.5,11.5,6,18,230.02300230023,60.8131506849315,12,12
23,23-May-2023,27.9054250270936,12742.2559018278,457.74409817221,0.5,12,6,18,230.02300230023,69.0301369863014,12,12
24,24-May-2023,27.9292678758912,12718.7556693496,481.244330650432,0.5,12.5,6,18,230.02300230023,43.2564383561644,12,12
25,25-May-2023,25.8174280010024,12607.6901517067,592.309848293318,0.5,13,6,18,230.02300230023,79.3468493150685,12,12
26,26-May-2023,22.7670501789771,11778.1777037863,1421.82229621366,1.5,14.5,6,18,230.02300230023,37.6504109589041,12,12
27,27-May-2023,27.303362660734,12728.7042084911,471.295791508901,0.5,15,6,18,230.02300230023,68.6821917808219,12,12
28,28-May-2023,28.0866241980572,12812.478716341,387.521283658958,0.5,15.5,6,18,230.02300230023,43.8734246575342,12,12
29,29-May-2023,25.0929940469976,12417.3664254819,782.633574518108,0.5,16,6,18,230.02300230023,60.0717808219178,12,12
30,30-May-2023,24.6283315775897,11810.6000669833,1389.3999330167,0.5,16.5,6,18,230.02300230023,56.3632876712329,12,12
31,31-May-2023,25.0980696603908,12579.0792238368,620.920776163219,0.5,17,6,18,230.02300230023,69.6630136986301,12,12
