Day,Date,PV_Total_MWh,PV_to_H2_kWh,Batt_to_H2_kWh,Battery_Cycles_Daily,Battery_Cycles_Cumulative,H2_Start_Hour,H2_Stop_Hour,H2_Produced_kg,Final_SOC_pct,Planned_H2_Hours,Actual_H2_Hours
1,01-Nov-2023,6.57757640147914,4234.84794604166,1265.15205395834,0.5,0.5,9,14,104.010401040104,20,5,5
2,02-Nov-2023,13.7923278911579,7870.21787413492,2029.78212586508,0,0.5,9,18,176.017601760176,52.2591780821918,9,9
3,03-Nov-2023,6.27377424043191,4535.43835923666,3164.56164076334,0.5,1,6,16,154.015401540154,20,7,7
4,04-Nov-2023,11.2113065554512,6940.53318782867,2959.46681217133,0,1,9,18,176.017601760176,26.6219178082192,9,9
5,05-Nov-2023,14.1741262850915,8862.16544004794,3237.83455995206,0,1,6,18,226.022602260226,37.2547945205479,11,11
6,06-Nov-2023,14.3915830736871,7980.17345488256,3019.82654511744,0,1,6,18,208.020802080208,40.4361643835617,10,10
7,07-Nov-2023,12.0640161929585,7710.46983136474,3289.53016863526,1,2,6,18,208.020802080208,43.4443835616438,10,10
8,08-Nov-2023,4.37668958952485,2404.65062052313,1995.34937947687,0.5,2.5,6,13,100.0100010001,20,4,4
9,09-Nov-2023,11.2961562252776,7604.46070760152,2295.53929239848,0,2.5,9,18,176.017601760176,34.987397260274,9,9
10,10-Nov-2023,10.7437630641023,6780.2923855197,4219.7076144803,1.5,4,6,18,208.020802080208,29.4690410958904,10,10
11,11-Nov-2023,8.04772763921001,5571.19227106355,4328.80772893645,1.5,5.5,6,18,190.01900190019,20,9,9
12,12-Nov-2023,8.13679913458841,4813.11038388051,2886.88961611949,1.5,7,11,18,140.01400140014,20,7,7
13,13-Nov-2023,10.4337301706425,7136.25701129783,2763.74298870217,0,7,9,18,176.017601760176,27.3950684931507,9,9
14,14-Nov-2023,12.3954689391171,7599.76990592226,3400.23009407774,0,7,6,18,208.020802080208,44.1934246575342,10,10
15,15-Nov-2023,13.2439799062545,7767.46779485271,3232.53220514729,0,7,6,18,208.020802080208,50.0416438356164,10,10
16,16-Nov-2023,9.57689179223622,6205.79447240846,5894.20552759154,0.5,7.5,6,18,226.022602260226,20,11,11
17,17-Nov-2023,10.8699452718631,6546.45459633338,3353.54540366662,0,7.5,9,18,176.017601760176,29.2515068493151,9,9
18,18-Nov-2023,13.3845105814776,7852.53315779668,3147.46684220332,0,7.5,6,18,208.020802080208,50.3830136986301,10,10
19,19-Nov-2023,12.3028495568107,7808.2687423172,4291.7312576828,0,7.5,6,18,226.022602260226,36.892602739726,11,11
20,20-Nov-2023,12.0007581011642,7746.80076650134,3253.19923349866,0,7.5,6,18,208.020802080208,39.9156164383562,10,10
21,21-Nov-2023,11.8811558254723,7505.03600638997,3494.96399361002,0,7.5,6,18,208.020802080208,37.3934246575343,10,10
22,22-Nov-2023,5.3971550546095,2170.7574568894,2229.2425431106,0.5,8,6,16,100.0100010001,20,4,4
23,23-Nov-2023,6.30781529057653,3870.1002183452,1629.8997816548,1,9,9,16,118.011801180118,20,5,5
24,24-Nov-2023,11.8029565202249,7225.20720966195,2674.79279033805,0,9,9,18,176.017601760176,36.9775342465753,9,9
25,25-Nov-2023,4.56194454615915,1359.34362196144,1940.65637803856,0.5,9.5,6,12,82.008200820082,20,3,3
26,26-Nov-2023,10.0598024518832,5277.75702303397,2422.24297696604,0.5,10,11,18,140.01400140014,29.652602739726,7,7
27,27-Nov-2023,8.53895051985891,5516.05081900916,3283.94918099084,0.5,10.5,6,17,172.017201720172,20,8,8
28,28-Nov-2023,6.47545130050099,4194.52239764398,1305.47760235602,0.5,11,12,17,104.010401040104,20,5,5
29,29-Nov-2023,10.2414790763293,7235.33175205743,2664.66824794257,0,11,9,18,176.017601760176,27.2317808219178,9,9
30,30-Nov-2023,11.9940036223487,7673.47248349436,3326.52751650564,0,11,6,18,208.020802080208,37.574794520548,10,10
