Day,Date,PV_Total_MWh,PV_to_H2_kWh,Batt_to_H2_kWh,Battery_Cycles_Daily,Battery_Cycles_Cumulative,H2_Start_Hour,H2_Stop_Hour,H2_Produced_kg,Final_SOC_pct,Planned_H2_Hours,Actual_H2_Hours
1,01-Oct-2023,18.7351354766674,10568.0795218637,2631.92047813627,0.5,0.5,6,18,230.02300230023,48.1364383561644,12,12
2,02-Oct-2023,18.6022691346472,10351.0025428465,2848.99745715354,0.5,1,6,18,230.02300230023,48.8257534246575,12,12
3,03-Oct-2023,19.5173698644828,10639.4633896541,2560.5366103459,0.5,1.5,6,18,230.02300230023,55.333698630137,12,12
4,04-Oct-2023,19.0962140634091,10565.2224181611,2634.7775818389,0.5,2,6,18,230.02300230023,52.5402739726027,12,12
5,05-Oct-2023,18.950632498491,10495.2563446406,2704.74365535939,0.5,2.5,6,18,230.02300230023,51.4630136986301,12,12
6,06-Oct-2023,17.9642746767368,10436.0217262117,2763.97827378827,0.5,3,6,18,230.02300230023,47.4421917808219,12,12
7,07-Oct-2023,18.5532599876563,9695.5758655357,2404.4241344643,0,3,6,18,226.022602260226,49.3030136986302,11,11
8,08-Oct-2023,16.0184725141551,9621.61442239281,3578.38557760719,0.5,3.5,6,18,230.02300230023,60.6153424657534,12,12
9,09-Oct-2023,17.9246247868434,10234.5053084603,2965.49469153973,0.5,4,6,18,230.02300230023,44.5764383561644,12,12
10,10-Oct-2023,17.6731895178682,9552.36320154845,2547.63679845155,0,4,6,18,226.022602260226,43.8383561643836,11,11
11,11-Oct-2023,17.9673208402804,9570.95089422181,2529.04910577819,0,4,6,18,226.022602260226,44.8339726027397,11,11
12,12-Oct-2023,17.8712005985606,9537.46635080197,2562.53364919803,0,4,6,18,226.022602260226,44.8334246575342,11,11
13,13-Oct-2023,17.5112896522735,9508.31936394526,2591.68063605474,0,4,6,18,226.022602260226,63.64,11,11
14,14-Oct-2023,17.8644357315829,10126.0242044133,3073.97579558672,0.5,4.5,6,18,230.02300230023,42.5090410958904,12,12
15,15-Oct-2023,17.7199863099498,9506.66512515886,2593.33487484114,0,4.5,6,18,226.022602260226,42.958904109589,11,11
16,16-Oct-2023,16.2192055353215,9426.38877968581,2673.61122031419,0,4.5,6,18,226.022602260226,60.9156164383561,11,11
17,17-Oct-2023,10.1904384175757,5074.53331259784,3725.46668740216,0,4.5,6,18,172.017201720172,40.801095890411,8,8
18,18-Oct-2023,15.6469614659819,8867.51888577808,3232.48111422192,0,4.5,6,18,226.022602260226,52.8482191780822,11,11
19,19-Oct-2023,16.4435741452291,9897.57649360754,3302.42350639246,0.5,5,6,18,230.02300230023,57.9901369863014,12,12
20,20-Oct-2023,16.2627192870172,9725.96001384304,3474.03998615696,0.5,5.5,6,18,230.02300230023,57.4969863013699,12,12
21,21-Oct-2023,4.95857273554832,2522.49681010775,2977.50318989225,0.5,6,6,12,118.011801180118,20,5,5
22,22-Oct-2023,16.2061224831843,9289.82733099443,1710.17266900557,0,6,8,18,194.019401940194,52.7452054794521,10,10
23,23-Oct-2023,15.0112475442777,9596.57049600756,3603.42950399244,0.5,6.5,6,18,230.02300230023,45.8821917808219,12,12
24,24-Oct-2023,15.0785295237491,8041.22981216348,2958.77018783652,0,6.5,6,18,208.020802080208,46.2115068493151,10,10
25,25-Oct-2023,5.92582232935238,3105.63262740551,2394.36737259449,0.5,7,6,16,118.011801180118,20,5,5
26,26-Oct-2023,8.90925836916924,7487.96519158237,2412.03480841763,1.5,8.5,8,17,176.017601760176,20,9,9
27,27-Oct-2023,14.2521693916579,9175.59552180111,1824.40447819889,0,8.5,8,18,194.019401940194,56.2032876712329,10,10
28,28-Oct-2023,10.7125181760725,7619.71250785614,4480.28749214386,0,8.5,6,18,226.022602260226,30.3309589041096,11,11
29,29-Oct-2023,15.2383397962277,9178.47857409957,2921.52142590043,0,8.5,6,18,226.022602260226,48.2115068493151,11,11
30,30-Oct-2023,14.9262747395833,9531.87962607762,3668.12037392238,0.5,9,6,18,230.02300230023,46.5495890410959,12,12
31,31-Oct-2023,8.44996606616885,6144.42694087287,3755.57305912713,2.5,11.5,6,17,190.01900190019,20,9,9
