Day,Date,PV_Total_MWh,PV_to_H2_kWh,Batt_to_H2_kWh,Battery_Cycles_Daily,Battery_Cycles_Cumulative,H2_Start_Hour,H2_Stop_Hour,H2_Produced_kg,Final_SOC_pct,Planned_H2_Hours,Actual_H2_Hours
1,01-Sep-2023,23.0443840725188,11600.7277251791,1599.27227482094,0.5,0.5,6,18,230.02300230023,46.3276712328767,12,12
2,02-Sep-2023,22.4403991378692,11843.6225568878,1356.37744311223,0.5,1,6,18,230.02300230023,75.0701369863014,12,12
3,03-Sep-2023,23.3143829581861,11762.9076541887,1437.09234581128,0.5,1.5,6,18,230.02300230023,46.3578082191781,12,12
4,04-Sep-2023,19.4297753708027,11312.8653236637,1887.13467633634,0.5,2,6,18,230.02300230023,63.8104109589041,12,12
5,05-Sep-2023,14.9322894789255,9018.7367561721,4181.2632438279,0.5,2.5,6,18,230.02300230023,40.053698630137,12,12
6,06-Sep-2023,10.0273016080308,6486.10334244256,4513.89665755744,0,2.5,6,18,208.020802080208,24.4515068493151,10,10
7,07-Sep-2023,16.197919389353,9676.66784611638,2423.33215388362,0,2.5,6,18,226.022602260226,67.8361643835617,11,11
8,08-Sep-2023,13.8670508265539,9573.77769000165,3626.22230999835,1.5,4,6,18,230.02300230023,61.16,12,12
9,09-Sep-2023,20.0159356143615,11150.6658571602,2049.33414283985,0.5,4.5,6,18,230.02300230023,50.785205479452,12,12
10,10-Sep-2023,22.0738935088859,11490.4262665858,1709.57373341419,0.5,5,6,18,230.02300230023,69.5468493150685,12,12
11,11-Sep-2023,22.541853527039,11568.8092226708,1631.19077732917,0.5,5.5,6,18,230.02300230023,43.6553424657534,12,12
12,12-Sep-2023,22.4971234893321,11528.7626768074,1671.23732319264,0.5,6,6,18,230.02300230023,71.3282191780822,12,12
13,13-Sep-2023,21.6490029155551,11381.9952086528,1818.00479134719,0.5,6.5,6,18,230.02300230023,37.972602739726,12,12
14,14-Sep-2023,21.0103522014464,10521.0599737102,1578.94002628985,0,6.5,6,18,226.022602260226,61.1720547945206,11,11
15,15-Sep-2023,21.1088168071836,11317.3283805551,1882.67161944494,0.5,7,6,18,230.02300230023,64.7101369863014,12,12
16,16-Sep-2023,13.2382627514882,9062.2193183559,4137.7806816441,1.5,8.5,6,18,230.02300230023,37.6312328767123,12,12
17,17-Sep-2023,20.4328785212803,10398.7823933093,1701.2176066907,0,8.5,6,18,226.022602260226,61.7654794520548,11,11
18,18-Sep-2023,19.9121107932295,11031.8862496951,2168.11375030486,0.5,9,6,18,230.02300230023,61.2531506849315,12,12
19,19-Sep-2023,17.8521394904523,10872.7348131588,2327.26518684116,0.5,9.5,6,18,230.02300230023,69.7528767123288,12,12
20,20-Sep-2023,14.8073159821927,9804.126268446,3395.873731554,0.5,10,6,18,230.02300230023,35.9945205479452,12,12
21,21-Sep-2023,18.3922330418032,10006.1473056098,2093.85269439018,0,10,6,18,226.022602260226,55.3090410958904,11,11
22,22-Sep-2023,19.6639455351202,10968.8415045126,2231.15849548745,0.5,10.5,6,18,230.02300230023,60.1879452054795,12,12
23,23-Sep-2023,12.6275759034226,9071.94224495082,4128.05775504918,1.5,12,6,18,230.02300230023,46.6383561643836,12,12
24,24-Sep-2023,14.5514895418209,8697.95363906993,3402.04636093007,1,13,6,18,226.022602260226,55.9928767123288,11,11
25,25-Sep-2023,7.49191988268094,4524.61714147312,4275.38285852688,0.5,13.5,6,17,172.017201720172,20,8,8
26,26-Sep-2023,15.3722703956442,9308.05963509398,1691.94036490602,1,14.5,8,18,194.019401940194,76.1145205479452,10,10
27,27-Sep-2023,19.1017983059652,10390.4630714888,2809.53692851115,0.5,15,6,18,230.02300230023,49.9808219178082,12,12
28,28-Sep-2023,19.1318690580287,10568.4635942829,2631.53640571715,0.5,15.5,6,18,230.02300230023,51.0158904109589,12,12
29,29-Sep-2023,17.8693727806014,10516.147950882,2683.852049118,0.5,16,6,18,230.02300230023,51.1928767123287,12,12
30,30-Sep-2023,17.3597589670533,10451.6961045827,2748.30389541731,0.5,16.5,6,18,230.02300230023,58.2728767123288,12,12
